key,zh-CN,en-US
cube.roles.title,各司其职，效率倍增,"Clear Roles, Maximum Efficiency"
cube.roles.desc,数据工程师专注构建可复用的语义模型，数据分析师基于模型自助分析——两个角色分工明确，无需相互等待。,"Data engineers build reusable semantic models; analysts self-serve on top. Clear separation of concerns, no waiting for each other."
cube.roles.eng.title,数据工程师,Data Engineer
cube.roles.eng.points,用 @EruptCube 定义数据源与 SQL|用 @Dimension 声明可分组、可筛选的维度|用 @Measure 封装聚合指标逻辑|业务指标沉淀为标准化可复用资产|修改表结构只需改模型层，一处改处处生效,Define data source and SQL with @EruptCube|Declare groupable/filterable dimensions with @Dimension|Encapsulate aggregation logic with @Measure|Standardize business metrics as reusable assets|Schema changes only require updating the model layer
cube.roles.ana.title,数据分析师,Data Analyst
cube.roles.ana.points,基于语义层自助完成可视化分析|无需关心底层 SQL 实现细节|拖拽维度和指标即可生成图表|所有指标口径统一，不再争论数字|专注业务洞察，而非技术实现,"Self-serve visualization on top of the semantic layer|No need to understand underlying SQL|Drag dimensions and measures to build charts|Consistent metrics — no more arguing about numbers|Focus on business insights, not technical details"
cube.anno.title,四个注解，构建完整分析体系,"Four Annotations, Complete Analytics Stack"
cube.anno.desc,没有新语言，没有新 DSL，Java 开发者开箱即用。,"No new language, no new DSL. Works out of the box for any Java developer."
cube.anno.a1.title,声明数据立方体,Declare a Data Cube
cube.anno.a1.desc,绑定 SQL 数据源（支持子查询或直接引用表），声明对外暴露的查询视图。,Bind a SQL data source (subquery or table reference) and declare exposed query views.
cube.anno.a2.title,定义分析维度,Define Analysis Dimensions
cube.anno.a2.desc,声明可用于分组和筛选的字段，支持日期、字符串、数值类型自动推断。,"Declare fields for grouping and filtering. Type inference handles date, string, and number automatically."
cube.anno.a3.title,封装聚合指标,Encapsulate Aggregation Measures
cube.anno.a3.desc,将 count、sum、avg、复合表达式等聚合逻辑封装为可复用指标，一处定义全局生效。,"Encapsulate count, sum, avg, and compound expressions as reusable measures — define once, use everywhere."
cube.anno.a4.title,运行时查询参数,Runtime Query Parameters
cube.anno.a4.desc,声明运行时动态传入的查询条件，支持枚举选项，让语义模型更灵活。,"Declare runtime filter parameters with optional enum choices for flexible, parameterized queries."
cube.code.title,一个完整的语义模型,A Complete Semantic Model
cube.code.desc,多表 JOIN 查询、多个维度与指标，全部通过注解声明，无需编写任何 Controller 或 Service。,"Multi-table JOIN, dimensions and measures — all declared with annotations. Zero Controller or Service code required."
cube.flow.title,从建模到洞察，全程无摩擦,"From Model to Insight, Zero Friction"
cube.flow.desc,过去需要多方协同数周才能完成的 BI 链路，现在一个工程师一天内搞定。,What used to require weeks of cross-team coordination now takes a single engineer a day.
cube.flow.steps,🗃️:分析 SQL 数据源|⬡:@EruptCube 声明模型|📐:@Dimension 定义维度|📊:@Measure 封装指标|🖱️:拖拽生成图表|💡:业务洞察,🗃️:Analyze SQL source|⬡:@EruptCube model|📐:@Dimension fields|📊:@Measure metrics|🖱️:Drag & drop charts|💡:Business insights
cube.cmp.title,三方横向对比,Three-Way Comparison
cube.cmp.desc,Google Looker、Cube.dev 与 Erupt Cube 都实现了语义层理念，但工程能力天差地别。注解方案在 IDE 支持、版本管理、动态性和继承上全面领先。,"Google Looker, Cube.dev, and Erupt Cube all implement the semantic layer concept — but their engineering capabilities differ dramatically. Annotations lead on IDE support, versioning, dynamic models, and inheritance."
cube.cmp.col.feature,能力对比,Capability
cube.viz.title,强大的可视化能力,Powerful Visualization
cube.viz.desc,从维度指标到可交互仪表盘，全程拖拽完成，无需前端代码。,"From dimensions and measures to interactive dashboards — all by drag-and-drop, no frontend code."
cube.viz.f1.name,拖拽构建,Drag & Drop
cube.viz.f1.desc,从字段列表拖入维度和指标，即刻生成图表，无需配置代码,Drag dimensions and measures onto a canvas — charts appear instantly
cube.viz.f2.name,栅格布局,Grid Layout
cube.viz.f2.desc,仪表盘基于栅格系统排列，卡片自动对齐，整洁美观,"Dashboard cards snap to a grid — auto-aligned, pixel-perfect"
cube.viz.f3.name,自由缩放,Free Resize
cube.viz.f3.desc,拖动卡片边角即可调整大小，按需分配各图表的占比空间,Drag card corners to resize — allocate space however the data demands
cube.viz.f4.name,所见即所得,WYSIWYG
cube.viz.f4.desc,编辑模式与预览模式实时同步，调整即见效果，无需刷新,Edit and preview are always in sync — what you build is what users see
cube.viz.f5.name,多图表类型,Rich Chart Types
cube.viz.f5.desc,柱状图、折线图、饼图、散点图等多种图表类型开箱即用,"Bar, line, pie, scatter and more — pick the right chart for any data shape"
cube.viz.f6.name,多维过滤器,Multi-dim Filters
cube.viz.f6.desc,下拉、日期范围、数值区间等多种过滤器，支持联动过滤,"Dropdown, date range, numeric range filters with cross-chart linkage"
cube.db.title,广泛的数据库支持,Broad Database Support
cube.db.desc,无论是 OLAP 大数据仓库、传统关系型数据库、国产数据库还是云原生数仓，Erupt Cube 均可直接接入，无需额外适配。,"Whether OLAP warehouses, traditional RDBMS, domestic databases, or cloud-native DWs — Erupt Cube connects directly with no extra adapters."
cube.cta.title,准备好构建语义模型了吗？,Ready to Build Your Semantic Model?
cube.cta.desc,演示地址已部署完整的 Cube 示例，直接体验拖拽分析。,The live demo includes complete Cube examples. try drag-and-drop analytics now.
cube.cta.demo,立即体验 →,Try Live Demo →
cube.cta.doc,阅读文档,Documentation
cube.demo.tip,账号：cube<br>密码：cube,Username: cube<br>Password: cube
lang.zh,中文,中文
lang.en,English,English
